NO;OSM Feature Class;OSM MCE FieldName;OSM  Attribute Value;OSM Attribute definition;Mapping Description;DGIF Feature Alpha;DGIF Feature 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;
103;amenity_Point;amenity;community_centre ;A place mostly used for local events and festivities;OK;Building;AL013;featureFunction;FFN;communityCentre;893;;;;;
104;amenity_Point;amenity;fountain;A fountain for cultural / decorational / recreational purposes;OK;Fountain;BH075;;;;;;;;;
105;amenity_Point;amenity;gambling;A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre. Games that are covered by this definition include bingo and pachinko.;OK;Building;AL013;featureFunction;FFN;gambling;909;;;;;
106;amenity_Point;amenity;nightclub;A place to drink and dance (nightclub). The German word is "Disco" or "Discothek". Please don't confuse this with the German "Nachtclub" which is most likely  amenity=stripclub;OK;Building;AL013;featureFunction;FFN;nightClub;895;;;;;
107;amenity_Point;amenity;planetarium;A planetarium;Generalization;Building;AL013;featureFunction;FFN;hobbyLeisureActivities;923;;;;;
108;amenity_Point;amenity;social_centre ; A place for free and not-for-profit activities ;OK;Building;AL013;featureFunction;FFN;communityCentre;893;;;;;
109;amenity_Point;amenity;stripclub;A place that offers striptease or lapdancing (for sexual services use amenity=brothel).;Generalization;Building;AL013;featureFunction;FFN;adultEntertainment;966;;;;;
110;amenity_Point;amenity;studio;TV radio or recording studio;Generalization;Building;AL013;featureFunction;FFN;publishingBroadcasting;580;;;;;
111;amenity_Point;amenity;swingerclub ;A club where people meet to have a party and group sex;Generalization;Building;AL013;featureFunction;FFN;adultEntertainment;966;;;;;
112;amenity_Point;amenity;theatre;A theatre or opera house;OK;Building;AL013;featureFunction;FFN;theatre;891;;;;;
113;amenity_Point;amenity;animal_boarding ;A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays) ;OK;Building;AL013;featureFunction;FFN;animalBoarding;919;;;;;
114;amenity_Point;amenity;animal_shelter ;A shelter that recovers animals in trouble ;OK;Building;AL013;featureFunction;FFN;animalBoarding;919;;;;;
115;amenity_Point;amenity;bench;A bench to sit down and relax a bit ;not in DGIF;;;;;;;;;;;
116;amenity_Point;amenity;clock;A public visible clock  ;not in DGIF;;;;;;;;;;;
117;amenity_Point;amenity;courthouse ; A place where justice is dispensed  ;OK;Building;AL013;featureFunction;FFN;judicialActivities;840;;;;;
118;amenity_Point;amenity;coworking_space;A place where people can go to work (might require a fee); not limited to a single employer ;Generalization;Building;AL013;;;;;;;;;
119;amenity_Point;amenity;crematorium ; A place where dead human bodies are burnt  ;OK;Building;AL013;featureFunction;FFN;cremation;964;;;;;
120;amenity_Point;amenity;crypt ;It is a stone chamber or vault beneath the floor of a burial vault possibly containing sarcophagi, coffins or relics;OK;Tomb;AL036;;;;;;;;;
121;amenity_Point;amenity;dive_centre ;A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations;Generalization;Building;AL013;featureFunction;FFN;sportsAmusementRecreation;900;;;;;
122;amenity_Point;amenity;dojo;Training place for any of the Japanese arts. ;Generalization;Building;AL013;featureFunction;FFN;sportsCentre;912;;;;;
123;amenity_Point;amenity;embassy;An embassy ;OK;Building;AL013;featureFunction;FFN;embassy;827;;;;;
124;amenity_Point;amenity;fire_station ;A fire station ;OK;Building;AL013;featureFunction;FFN;firefighting;845;;;;;
125;amenity_Point;amenity;game_feeding ;Game feeding place ;Generalization;Building;AL013;;;;;;;;;
126;amenity_Point;amenity;grave_yard ;A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead;OK;Cemetery;AL030;;;;;;;;;
127;amenity_Point;amenity;hunting_stand ;A hunting stand ;Generalization;Building;AL013;featureFunction;FFN;hunting;19;;;;;
128;amenity_Point;amenity;internet_cafe ;A place whose principal role is providing internet services to the public;OK;Building;AL013;featureFunction;FFN;foodService;570;featureFunction;FFN;telecommunications;610;
129;amenity_Point;amenity;kneipp_water_cure ;Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries;not in DGIF;;;;;;;;;;;
130;amenity_Point;amenity;marketplace ;A place where trade is regulated, e.g. a square;OK;Building;AL013;featureFunction;FFN;market;475;;;;;
131;amenity_Point;amenity;photo_booth ;Photo Booth  A stand to create instant photo;not in DGIF;;;;;;;;;;;
132;amenity_Point;amenity;place_of_worship ;A church, mosque, or temple, etc.;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;;;;;
133;amenity_Point;amenity;police;A police station ;OK;Building;AL013;featureFunction;FFN;lawEnforcement;841;;;;;
134;amenity_Point;amenity;post_box ;A box for the reception of mail;not in DGIF;;;;;;;;;;;
135;amenity_Point;amenity;post_office;Post office building with postal services ;OK;Building;AL013;featureFunction;FFN;postalActivities;540;;;;;
136;amenity_Point;amenity;prison;A prison;OK;Building;AL013;featureFunction;FFN;imprisonment;843;;;;;
137;amenity_Point;amenity;ranger_station ;National Park Visitor Headquarters;Generalization;Building;AL013;featureFunction;FFN;botanZooReserveActivities;907;;;;;
138;amenity_Point;amenity;recycling ;Recycling facilities (bottle banks, etc.);OK;Building;AL013;featureFunction;FFN;wasteTreatmentDisposal;383;;;;;
139;amenity_Point;amenity;rescue_station ;A rescue station;OK;Building;AL013;featureFunction;FFN;emergencyReliefServices;888;;;;;
140;amenity_Point;amenity;sauna;A small room or house to experience dry or wet heat sessions;not in DGIF;;;;;;;;;;;
141;amenity_Point;amenity;shelter;A small shelter against bad weather conditions;not in DGIF;;;;;;;;;;;
142;amenity_Point;amenity;shower;Public shower or bath.;Generalization;Building;AL013;featureFunction;FFN;communalBath;559;;;;;
143;amenity_Point;amenity;telephone ;Public telephone ;not in DGIF;;;;;;;;;;;
144;amenity_Point;amenity;toilets;Public toilets (might require a fee) ;OK;Building;AL013;featureFunction;FFN;restroom;382;;;;;
145;amenity_Point;amenity;townhall;Building where the administration of a village, town or city may be located, or just a community meeting place;OK;Building;AL013;featureFunction;FFN;localGovernment;812;;;;;
146;amenity_Point;amenity;vending_machine ;A machine selling goods  food, tickets, newspapers, etc;not in DGIF;;;;;;;;;;;
147;amenity_Point;amenity;waste_transfer_station ;A waste transfer station is a location that accepts, consolidates and transfers waste in bulk;OK;Building;AL013;featureFunction;FFN;wasteTreatmentDisposal;383;;;;;
148;amenity_Point;amenity;waste_basket ;A single small container for depositing garbage that is easily accessible for pedestrians. ;not in DGIF;;;;;;;;;;;
149;amenity_Point;amenity;waste_disposal ;A place where canal boaters, caravaners, etc. can dispose of rubbish (trash/waste).;OK;DisposalSite;AB000;;;;;;;;;
150;amenity_Point;amenity;watering_place ;Place where water is contained and animals can drink;not in DGIF;;;;;;;;;;;
151;amenity_Point;amenity;water_point ;Place where you can get large amounts of drinking water;not in DGIF;;;;;;;;;;;
152;amenity_Point;amenity;user-defined or "yes";;not in DGIF;;;;;;;;;;;
153;amenity_Polygon;amenity;bar;Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food;OK;Building;AL013;featureFunction;FFN;bar;573;;;;;
154;amenity_Polygon;amenity;bbq;BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public;not in DGIF;;;;;;;;;;;
155;amenity_Polygon;amenity;biergarten;Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
156;amenity_Polygon;amenity;café;Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk café;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
157;amenity_Polygon;amenity;drinking_water;Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler;not in DGIF;;;;;;;;;;;
158;amenity_Polygon;amenity;fast_food ;Fast food restaurant;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
159;amenity_Polygon;amenity;food_court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;OK;Building;AL013;featureFunction;FFN;diningHall;574;;;;;
160;amenity_Polygon;amenity;ice_cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter ;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
161;amenity_Polygon;amenity;pub;A place selling beer and other alcoholic drinks; may also provide food or accommodation ;OK;Building;AL013;featureFunction;FFN;bar;573;;;;;
162;amenity_Polygon;amenity;restaurant;Restaurant;OK;Building;AL013;featureFunction;FFN;restaurant;572;;;;;
163;amenity_Polygon;amenity;college ;A college campus or buildings ;OK;Building;AL013;featureFunction;FFN;higherEducation;855;;;;;
164;amenity_Polygon;amenity;kindergarten ; For children too young for a regular school (also known as playschool or nursery school). ;OK;Building;AL013;featureFunction;FFN;dayCare;885;;;;;
165;amenity_Polygon;amenity;library;A public library (municipal, university, ) to borrow books from;OK;Building;AL013;featureFunction;FFN;library;902;;;;;
166;amenity_Polygon;amenity;public_bookcase ;A street furniture containing books. Take one or leave one;not in DGIF;;;;;;;;;;;
167;amenity_Polygon;amenity;school;School and grounds;OK;Building;AL013;featureFunction;FFN;education;850;;;;;
168;amenity_Polygon;amenity;music_school  ;Music school ;Generalization;Building;AL013;featureFunction;FFN;education;850;;;;;
169;amenity_Polygon;amenity;driving_school ;Driving School  ;Generalization;Building;AL013;featureFunction;FFN;vocationalEducation;857;;;;;
170;amenity_Polygon;amenity;language_school  ;Language School ;Generalization;Building;AL013;featureFunction;FFN;education;850;;;;;
171;amenity_Polygon;amenity;university;An university campus ;OK;Building;AL013;featureFunction;FFN;higherEducation;855;;;;;
172;amenity_Polygon;amenity;bicycle_parking ;Parking for bicycles ;OK;VehicleLot;AQ140;meansTransportation;TME;bicycle;4;;;;;
173;amenity_Polygon;amenity;bicycle_repair_station ;Self-service repair stand ;not in DGIF;;;;;;;;;;;
174;amenity_Polygon;amenity;bicycle_rental ;Rent a bicycle ;not in DGIF;;;;;;;;;;;
175;amenity_Polygon;amenity;boat_sharing ;Share a Boat ;not in DGIF;;;;;;;;;;;
176;amenity_Polygon;amenity;bus_station ;Has been replaced by public_transport=station;OK;TransportationStation;AQ125;meansTransportation;TME;bus;2;;;;;
177;amenity_Polygon;amenity;car_rental ;Rent a car ;OK;Building;AL013;featureFunction;FFN;motorVehicleRental;761;;;;;
178;amenity_Polygon;amenity;car_sharing ;Share a car ;Generalization;Building;AL013;featureFunction;FFN;motorVehicleRental;761;;;;;
179;amenity_Polygon;amenity;car_wash;Wash a car ;Generalization;Facility;AL010;featureFunction;FFN;motorVehicleRepair;343;;;;;
180;amenity_Polygon;amenity;charging_station ;Charging facility for electric vehicles;OK;MotorVehicleStation;AQ170;batteryRechargeAvail;BRA;TRUE;1001;;;;;
181;amenity_Polygon;amenity;ferry_terminal ;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry;OK;FerryStation;AQ080;;;;;;;;;
182;amenity_Polygon;amenity;fuel;Petrol station; gas station; marine fuel;OK;MotorVehicleStation;AQ170;;;;;;;;;
183;amenity_Polygon;amenity;motorcycle_parking ;Parking for motorcycles ;OK;VehicleLot;AQ140;meansTransportation;TME;motorcycle;9;;;;;
184;amenity_Polygon;amenity;parking;Car park;OK;VehicleLot;AQ140;meansTransportation;TME;automobile;1;;;;;
185;amenity_Polygon;amenity;taxi; A place where taxis wait for passengers ;not in DGIF;;;;;;;;;;;
186;amenity_Polygon;amenity;bank; a bank (for a bank that also has an ATM, it is preferred that a separate node for each ATM is added)  ;OK;Building;AL013;featureFunction;FFN;financialServices;640;;;;;
187;amenity_Polygon;amenity;baby_hatch ;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted;Generalization;Building;AL013;featureFunction;FFN;residentialCare;875;;;;;
